stock,gap_date,gap_width,gap_day_pl,revert_time,u_curve_effect,u_curve_profit,lowest_day,market_change_20d,Sector
EQIX,2010-10-06,-0.24394620058741545,-0.11477472942360933,15,True,0.13109308102535536,1.0,0.05167567567567577,Real Estate
ES,2004-11-15,-0.08317674271454722,-0.018528610354223485,6,True,0.040674290910362655,1.0,0.07524656033118227,Utilities
EXPE,2011-02-11,-0.1464378116296704,-0.028271773825809365,28,True,0.10980580235082114,12.0,0.029457648894191113,Consumer Discretionary
EXPE,2011-12-21,-0.3477135286463787,0.018626734842951187,1,True,0.05495926833093271,0.0,0.07203772449081969,Consumer Discretionary
EXPE,2013-07-26,-0.23077346864007375,-0.05599999999999983,7,True,0.08737221412751396,2.0,0.05411285794497478,Consumer Discretionary
EXPE,2015-02-06,-0.09964286699994829,-0.017165215196263905,4,True,0.15222119667482667,1.0,0.006368404152841789,Consumer Discretionary
EXPE,2017-10-27,-0.16453093170640942,0.005605199025182861,2,True,0.017632321136840975,1.0,0.02134458601335587,Consumer Discretionary
EXPD,2001-09-17,-0.03163455662175785,-0.0835866261398176,31,False,,,-0.12554987516347638,Industrials
FFIV,2007-10-25,-0.10995799357548797,-0.05080510827318174,4,True,0.07009207009207007,3.0,-0.0048442328572622095,Information Technology
FFIV,2011-07-21,-0.07744077530509685,-0.038323120319035064,31,False,,,0.04819497892614999,Information Technology
FB,2018-07-26,-0.1959080459770115,0.007833495339927943,5,True,0.027647487254187936,3.0,0.04592681825026346,Information Technology
FLIR,2005-04-12,-0.09233701073443801,-0.08314606741573038,8,True,0.09996539332820788,3.0,-0.008130081300813052,Information Technology
FLIR,2006-04-18,-0.10059149369232756,-0.014200298953662371,31,False,,,0.008590197069226813,Information Technology
FLIR,2008-10-06,-0.06349815472010312,-0.05133722717491551,20,True,0.21444416298762375,14.0,-0.14524343043389698,Information Technology
FLIR,2018-10-30,-0.05146056028801904,-0.08198019801980194,31,False,,,-0.08209214922049013,Information Technology
FLS,2004-10-27,-0.07775878442545114,-0.040983606557377095,3,True,0.0382305272189913,1.0,0.010135135135135087,Industrials
FLR,2016-11-04,-0.1469850185906001,0.014033499320959653,1,True,0.0083881229074472,0.0,-0.03517759562841538,Industrials
FLR,2018-05-04,-0.20085741285506398,-0.029274501484938598,7,True,0.0890073139146602,2.0,0.01923152400015704,Industrials
FLR,2018-10-11,-0.15481762714957437,-0.02062723637129016,18,True,0.11212253658530281,10.0,-0.06008974898331221,Industrials
FCX,2002-07-23,-0.02475319518802488,-0.0912921348314607,2,True,0.10565538059485075,1.0,-0.1805276742185259,Materials
FCX,2002-09-03,-0.09721393430666614,-0.00675675675675691,3,True,0.045720868585019114,2.0,0.0195508159638067,Materials
FCX,2009-06-22,-0.038205839256953866,-0.07720588235294124,3,True,0.08566246402765815,1.0,-0.0166913447301118,Materials
FCX,2012-12-05,-0.16130710436650486,0.0018691588785044733,5,True,0.04767035635540199,1.0,0.012701794640662012,Materials
FCX,2019-04-25,-0.04097851213235837,-0.06293169608595539,31,False,,,0.04041524968677268,Materials
GPS,2003-02-28,-0.09860219284909388,-0.023220973782771548,5,True,0.07248215285554306,3.0,-0.013526570048309261,Consumer Discretionary
GPS,2011-05-20,-0.17565614521910045,0.0015633142261592958,1,True,0.007051449464612156,1.0,-0.00017680339462522454,Consumer Discretionary
GPS,2014-10-09,-0.11356918868143628,-0.012654819601507716,12,True,0.04139803292821247,4.0,-0.02756058337492373,Consumer Discretionary
GRMN,2015-02-18,-0.05802449716867619,-0.05232666791253959,31,False,,,0.03471661553366712,Consumer Discretionary
GPN,2007-01-05,-0.09279131511945549,-0.07640449438202246,31,False,,,-0.0032048347220949847,Information Technology
GPN,2008-01-04,-0.14468302225534369,-0.012933264355923568,4,True,0.06435935998983823,2.0,-0.05884339383706205,Information Technology
GS,2009-04-14,-0.049120383296600845,-0.06989334195216557,11,True,0.09640194583563799,4.0,0.08660544648511714,Financials
GT,2011-08-08,-0.0504687728383203,-0.10334110334110336,4,True,0.12299696739084698,2.0,-0.14573268921095017,Consumer Discretionary
GT,2012-10-26,-0.05322583235629508,-0.054077253218884236,4,True,0.03418273218124265,1.0,-0.020782105179662058,Consumer Discretionary
HBI,2018-02-08,-0.07911329210203277,-0.03214638971315531,4,True,0.08393597731363218,1.0,-0.06696960667461271,Consumer Discretionary
HBI,2018-08-01,-0.16456230698537033,-0.03440860215053754,6,True,0.04404090222088605,3.0,0.028378327919047264,Consumer Discretionary
HRS,2002-10-16,-0.005929877444433518,-0.1652996845425867,31,False,,,0.026428807400066034,Information Technology
HRS,2008-01-10,-0.028438189576247663,-0.08138173302107721,14,True,0.1742158389058345,8.0,-0.0490572476751131,Information Technology
HCA,2016-11-09,-0.15067313380005487,0.0505168146746251,4,True,0.05080505842518468,0.0,0.01579364293494412,Health Care
HOLX,2013-11-12,-0.14366812227074233,0.04589495155532908,1,True,0.026420737786639958,0.0,0.028390961776388668,Health Care
HOLX,2016-04-28,-0.04837430610626481,-0.057777777777777706,31,False,,,0.002574665293511913,Health Care
HPQ,2015-11-25,-0.10022446276125996,-0.04024297646165531,31,False,,,0.0023215022699132337,Information Technology
HPQ,2019-02-28,-0.1592152628256397,-0.015960099750623513,11,True,0.07929742645833128,6.0,0.03237988409048431,Information Technology
HBAN,2008-10-07,-0.0578659567579235,-0.09347614410905547,15,True,0.6098532860437621,3.0,-0.18677082276554735,Financials
IDXX,2015-10-28,-0.10411780036486828,0.002472727272727404,1,True,0.016343429941163445,0.0,0.08752943815184477,Health Care
ILMN,2009-07-02,-0.13843733613004727,0.01825928180158254,13,True,0.13035143769968058,3.0,-0.04471597556219953,Health Care
ILMN,2016-10-11,-0.2691371382201785,0.028793486306439853,4,True,0.035258759712652125,2.0,0.006365309065592628,Health Care
